Effective_Date,Symbol,Canonical_Symbol,Action,Press_Release_Date,Source_URL,Notes
2024-03-28,VGUARD,VGUARD,EXCLUSION_REVOKED,2024-03-19,https://www.niftyindices.com/Press_Release/ind_prs19032024.pdf,Exclusion revoked by the correction release; V-Guard remains a member.
2024-03-28,ACE,ACE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ANANDRATHI,ANANDRATHI,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ASTRAZEN,ASTRAZEN,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,CAPLIPOINT,CAPLIPOINT,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,CELLO,CELLO,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,CHENNPETRO,CHENNPETRO,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,DOMS,DOMS,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ELECON,ELECON,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GMDCLTD,GMDCLTD,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GRSE,GRSE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,HAPPYFORGE,HAPPYFORGE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,HBLPOWER,HBLENGINE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,HONASA,HONASA,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,HSCL,HSCL,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,INOXWIND,INOXWIND,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,J&KBANK,J&KBANK,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,JAIBALAJI,JAIBALAJI,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,JIOFIN,JIOFIN,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,JSWINFRA,JSWINFRA,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,JWL,JWL,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,LLOYDSME,LLOYDSME,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,MAHSEAMLES,MAHSEAMLES,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,NUVAMA,NUVAMA,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RAILTEL,RAILTEL,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RKFORGE,RKFORGE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RRKABEL,RRKABEL,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SBFC,SBFC,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SCHNEIDER,SCHNEIDER,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SIGNATURE,SIGNATURE,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TATATECH,TATATECH,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TITAGARH,TITAGARH,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TMB,TMB,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TVSSCS,TVSSCS,INCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,IREDA,IREDA,INCLUSION_REVOKED,2024-03-19,https://www.niftyindices.com/Press_Release/ind_prs19032024.pdf,Inclusion revoked by the correction release; IREDA remains excluded until the later inclusion.
2024-06-13,DUMMYSANOF,DUMMYSANOF,INCLUDE,2024-06-07,https://www.niftyindices.com/Press_Release/ind_prs07062024_2.pdf,Sanofi demerger dummy constituent.
2024-07-11,DUMMYRAYMD,DUMMYRAYMD,INCLUDE,2024-07-05,https://www.niftyindices.com/Press_Release/ind_prs05072024.pdf,Raymond lifestyle demerger dummy constituent.
2024-08-30,TATAMTRDVR,TATAMTRDVR,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024_1.pdf,Tata Motors DVR cancellation.
2024-09-17,DUMMYRAYMD,DUMMYRAYMD,EXCLUDE,2024-09-13,https://www.niftyindices.com/Press_Release/ind_prs13092024.pdf,Raymond Lifestyle exclusion after listing price-band test.
2024-09-23,DUMMYSANOF,DUMMYSANOF,EXCLUDE,2024-09-19,https://www.niftyindices.com/Press_Release/ind_prs19092024.pdf,Sanofi Consumer Healthcare exclusion after listing price-band test.
