Entry_ID,Symbol,Signal_Date,Regime_Context_Date,Active_PIT_Member_Count,SMA50_Denominator,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,M1_Regime,Exact_Date_Match,PIT_Denominator_Match
RKFORGE-2024-07-01,RKFORGE,2024-07-01,2024-07-01,502,493,0.9820717131474104,82.75862068965517,22727.599609375,21345.335078125,19406.23626953125,True,True,True,MOMENTUM_ENABLED,True,True
RKFORGE-2024-08-29,RKFORGE,2024-08-29,2024-08-29,503,493,0.9801192842942346,56.79513184584179,23631.400390625,22973.2029296875,20604.51228515625,True,True,True,MOMENTUM_ENABLED,True,True
RKFORGE-2024-09-26,RKFORGE,2024-09-26,2024-09-26,500,493,0.986,62.88032454361054,24496.900390625,23446.3629296875,21253.68328125,True,True,True,MOMENTUM_ENABLED,True,True
RRKABEL-2025-07-23,RRKABEL,2025-07-23,2025-07-23,501,497,0.9920159680638723,61.56941649899397,23428.400390625,23150.1589453125,22255.32173828125,True,True,True,MOMENTUM_ENABLED,True,True
RRKABEL-2025-11-12,RRKABEL,2025-11-12,2025-11-12,503,498,0.9900596421471173,50.0,23836.900390625,23320.60515625,22414.982529296874,True,True,True,MOMENTUM_ENABLED,True,True
RRKABEL-2026-01-02,RRKABEL,2026-01-02,2026-01-02,501,498,0.9940119760479041,50.20080321285141,24099.0,23754.1330859375,22919.6473046875,True,True,True,MOMENTUM_ENABLED,True,True
RRKABEL-2026-05-25,RRKABEL,2026-05-25,2026-05-25,504,464,0.9206349206349206,75.0,22929.44921875,22202.8481640625,23056.55884765625,True,False,True,MOMENTUM_DISABLED,True,True
RTNINDIA-2024-01-11,RTNINDIA,2024-01-11,2024-01-11,501,491,0.9800399201596807,83.91038696537679,19584.349609375,18318.7829296875,16786.46947265625,True,True,True,MOMENTUM_ENABLED,True,True
SAFARI-2023-10-19,SAFARI,2023-10-19,2023-10-19,501,491,0.9800399201596807,61.5071283095723,17310.5,17194.65796875,15910.912001953126,True,True,True,MOMENTUM_ENABLED,True,True
SAIL-2024-04-22,SAIL,2024-04-22,2024-04-22,501,492,0.9820359281437125,56.50406504065041,20574.849609375,20216.8351171875,18317.231513671875,True,True,True,MOMENTUM_ENABLED,True,True
