Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage,Seed_Composite_RS,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk,M1_Regime,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200
SCI-2026-04-28,SCI,2026-04-17,2026-04-28,7,305.8699951171875,15.03429617056582,14.336994882911709,284.6099853515625,1.4141007682985451,303.1000061035156,300.1300048828125,263.0735008239746,254.9045867919922,228.4083322906494,1246588388.3571167,93.66053169734153,96.52351738241308,94.27402862985686,94.98977505112477,0.978,3.0043241735807498,True,0.972,96.97530864197532,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-04-29,307.0,281.02573663083456,25.97426336916544,MOMENTUM_DISABLED,True,False,True,0.998,72.74549098196393,22765.599609375,22370.2521875,23115.145576171875
ABSLAMC-2026-05-04,ABSLAMC,2026-04-17,2026-05-04,10,1042.1351318359375,44.26497866040877,42.09547018816902,972.3343390814548,1.5768852683738788,1014.3807373046876,1004.4788422675203,997.9060119628906,937.8016674804688,827.665632019043,392135214.8942871,63.39468302658487,91.41104294478528,91.8200408997955,83.12883435582822,0.9702380952380952,0.7678579972837122,True,0.972,88.1275720164609,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-05,1012.62463882563,961.8104715344124,50.81416729121736,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,76.72413793103449,22830.75,22323.0031640625,23103.89458984375
ADANIENSOL-2026-05-04,ADANIENSOL,2026-04-27,2026-05-04,4,1435.800048828125,58.86417364957151,59.27427333503858,1308.0,2.171100703612023,1398.4000244140625,1377.0999755859375,1257.735009765625,1099.0980004882813,961.6115008544922,4592897555.654785,98.3640081799591,98.3640081799591,97.75051124744375,98.1799591002045,0.9702380952380952,1.0871836152222327,True,0.978,98.62985685071575,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-05,1394.5999755859375,1293.1814316662403,101.4185439196972,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,76.72413793103449,22830.75,22323.0031640625,23103.89458984375
BELRISE-2026-05-04,BELRISE,2026-04-20,2026-05-04,9,222.17999267578125,8.031194394483256,7.008383499768171,207.19000244140625,1.8664708507954733,215.7400054931641,214.3999938964844,210.0340003967285,195.9142010498047,165.54490036010742,771502247.4422302,59.30470347648262,91.6155419222904,96.7280163599182,83.4560327198364,0.9702380952380952,1.881103945169263,True,0.974,94.49691991786447,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-05,216.4499969482422,205.43790656646425,11.012090381777966,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,76.72413793103449,22830.75,22323.0031640625,23103.89458984375
ANGELONE-2026-05-05,ANGELONE,2026-04-22,2026-05-05,8,327.576904296875,12.568756312545204,10.579449826675727,302.763671595935,1.9741995217277972,313.4306640625,312.5334486329772,302.4580993652344,259.4010479736328,250.35625869750976,2515732445.470337,92.63803680981594,83.23108384458078,91.20654396728015,88.44580777096115,0.9702380952380952,0.7538629902742919,True,0.976,95.98360655737704,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-06,315.77341014112056,300.1188091392661,15.654601001854472,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,75.86206896551724,22808.25,22309.7191796875,23100.0730859375
AUROPHARMA-2026-05-05,AUROPHARMA,2026-04-23,2026-05-05,7,1435.4000244140625,36.33440731760272,35.050536898843816,1367.0,1.8825138336830705,1428.0999755859375,1398.0,1384.5400024414062,1306.68400390625,1180.7560830688476,1871751387.680542,29.03885480572597,85.68507157464212,92.22903885480572,70.65439672801637,0.9702380952380952,1.2502371378795023,True,0.976,83.40163934426229,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-06,1431.0,1358.237365775289,72.76263422471106,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,75.86206896551724,22808.25,22309.7191796875,23100.0730859375
GVT&D-2026-05-05,GVT&D,2026-04-24,2026-05-05,6,4586.9462890625,189.0945047539471,165.95555332316414,4380.158404633067,1.0935689786358869,4567.59423828125,4529.788047241803,4249.007946777344,3928.6399267578126,3173.820986328125,2616296376.972656,75.4601226993865,95.2965235173824,97.34151329243352,89.95910020449898,0.9702380952380952,1.7675747961297428,True,0.978,97.68916155419222,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-06,4598.6175994189125,4338.669516302276,259.9480831166365,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,75.86206896551724,22808.25,22309.7191796875,23100.0730859375
GESHIP-2026-05-06,GESHIP,2026-04-30,2026-05-06,3,1549.3798828125,56.90816015227067,54.1940157868869,1488.4580216183012,1.0705294465888286,1547.7093505859375,1521.4737012954693,1428.4548583984374,1391.4173193359377,1126.6760723876953,738204132.0758057,28.016359918200408,91.6155419222904,97.13701431492842,74.1922290388548,0.9702380952380952,1.151297977384934,True,0.9702380952380952,82.49488752556236,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-07,1553.8015106524606,1474.9095176715796,78.89199298088101,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,84.05172413793103,23133.400390625,22301.586171875,23097.95284179688
HONASA-2026-05-06,HONASA,2026-04-21,2026-05-06,10,351.6000061035156,12.599904227093267,11.022975356851427,331.0,1.6349335464963244,345.1499938964844,345.0,342.6050003051758,312.50999938964844,291.0597505187988,178751821.2179718,53.78323108384458,85.48057259713701,87.52556237218813,76.58486707566462,0.9702380952380952,0.7091334540184054,True,0.976,90.8811475409836,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-07,346.0,328.2442561607872,17.75574383921287,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,84.05172413793103,23133.400390625,22301.586171875,23097.95284179688
SONACOMS-2026-05-06,SONACOMS,2026-04-30,2026-05-06,3,605.4901123046875,20.479169721054003,19.716568860722276,567.6999270482646,1.8452986996622212,580.9115600585938,579.3161882120021,576.5218231201172,535.8206237792969,484.312477722168,1613233647.329712,59.50920245398773,77.30061349693251,85.07157464212679,74.29447852760735,0.9702380952380952,0.8607112423717959,True,0.9702380952380952,89.48875255623723,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-07,582.3074931317652,562.770784833084,19.53670829868122,MOMENTUM_DISABLED,True,False,True,0.9206349206349206,84.05172413793103,23133.400390625,22301.586171875,23097.95284179688
