Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage,Seed_Composite_RS,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Regime_Context_Date,Active_PIT_Member_Count,SMA50_Denominator,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,PIT_Denominator_Match,M1_Regime,Exact_Date_Match,V3_Entry_Status,V3_Cancellation_Reason
COCHINSHIP-2024-01-16,COCHINSHIP,2024-01-10 00:00:00,2024-01-16,4,789.3307495117188,35.698817950264484,35.9227793478474,738.0065542391676,1.4377001318098517,778.8594360351562,777.7287476457302,682.7617797851562,610.2947674560547,414.210396194458,3304296557.406128,96.93877551020408,95.10204081632652,98.9795918367347,96.81632653061224,0.9780439121756488,1.5836803304491698,True,0.9780439121756488,96.46938775510203,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-01-16,501,491,0.9800399201596807,82.4847250509165,19827.55078125,18500.753984375,16867.82098144531,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COCHINSHIP-2024-01-25,COCHINSHIP,2024-01-19 00:00:00,2024-01-25,3,859.041259765625,41.879348344698485,43.72032807666712,782.890716956252,1.8183316078033689,856.9765014648438,840.1634130475571,743.0332977294922,651.9830102539063,433.0575547790528,2905957419.597656,95.10204081632652,97.14285714285714,98.36734693877553,96.89795918367346,0.9780439121756488,0.6001154173070653,True,0.9780439121756488,97.93877551020408,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-01-25,501,491,0.9800399201596807,65.37678207739307,19393.0,18777.58796875,17020.314487304688,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COCHINSHIP-2024-02-08,COCHINSHIP,2024-01-31 00:00:00,2024-02-08,6,896.8953247070312,43.68982332555747,40.8999484520857,848.7174133633391,1.1027261654205234,896.1088256835938,881.9503241309632,839.6766754150391,713.7981799316407,461.8507403564453,3310346437.6389465,96.53061224489797,96.12244897959184,98.57142857142858,96.9795918367347,0.9780439121756488,1.020410887668251,True,0.9780439121756488,97.38775510204084,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-02-08,501,491,0.9800399201596807,65.9877800407332,19987.55078125,19197.8930078125,17246.9894921875,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COCHINSHIP-2024-04-16,COCHINSHIP,2024-04-08 00:00:00,2024-04-16,5,1126.5201416015625,54.00016496034937,54.76702628323024,1011.0251612638408,2.138789398560655,1089.1571044921875,1071.0431090297734,975.2958282470704,896.4952319335938,602.8022857666016,3884745404.043396,99.59016393442624,94.05737704918032,97.74590163934424,96.82377049180327,0.9740518962075848,1.1077902294858433,True,0.9720558882235528,98.48049281314168,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-04-16,501,492,0.9820359281437125,55.28455284552846,20423.0,20180.94515625,18253.716274414062,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COCHINSHIP-2024-06-03,COCHINSHIP,2024-05-29 00:00:00,2024-06-03,3,1992.0909423828125,124.56861779285823,124.18140610513387,1876.546612695375,0.927555685650884,1987.10595703125,1984.144498431196,1570.3688842773438,1272.6667639160155,780.4121546936035,14054598277.419497,99.3877551020408,100.0,100.0,99.81632653061224,0.9780439121756488,0.6167152292818172,True,0.9780439121756488,99.87755102040816,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-06-03,501,493,0.9840319361277445,61.4604462474645,21797.400390625,20707.5680859375,18918.27002929688,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COFORGE-2023-09-15,COFORGE,2023-09-06 00:00:00,2023-09-15,7,1088.9212646484375,32.0006551701289,28.925094979321692,1039.0976000873436,1.5569576402798757,1087.6243896484375,1072.3426592960998,1040.4786468505858,978.9578515625,843.6329507446289,2326805004.175415,77.9591836734694,73.87755102040816,71.83673469387755,74.48979591836735,0.9780439121756488,1.0263199960925184,True,0.9760956175298804,73.71428571428572,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-09-15,501,491,0.9800399201596807,83.29938900203666,17665.80078125,16987.11109375,15738.055517578125,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COFORGE-2024-12-26,COFORGE,2024-12-19 00:00:00,2024-12-26,4,1900.5010986328125,38.21301217298242,40.92720789385772,1833.2256576638197,1.760537501321566,1868.2557373046875,1863.6801506214365,1792.4480590820312,1636.920322265625,1265.7840710449218,2835431146.713867,86.8421052631579,99.19028340080972,98.78542510121456,95.36437246963564,0.988,0.9791184206647384,True,0.988,96.86234817813764,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-26,500,496,0.992,34.87903225806452,22430.349609375,22788.139921875,22307.514990234376,True,True,False,True,MOMENTUM_DISABLED,True,ACCEPTED,
COFORGE-2026-08-19,COFORGE,2026-08-13 00:00:00,2026-08-19,4,1829.0,51.29643249074062,47.41607537116992,1762.199951171875,1.3022357615255775,1813.0999755859373,1795.0,1729.042657470703,1572.731494140625,1507.191368408203,4141671519.5,98.6,93.4,86.2,92.8,1.0,1.109649552638145,True,1.0,89.56,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-08-19,500,500,1.0,50.0,23386.19921875,23252.231015625,23081.79706054688,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COHANCE-2023-10-20,COHANCE,2023-10-12 00:00:00,2023-10-20,6,589.9500122070312,16.391278757574504,17.219763494557302,564.8499755859375,1.531304359612265,589.0999755859375,576.0999755859375,564.8725006103516,537.02,495.0449995422363,150050126.0,87.75510204081633,79.79591836734694,48.36734693877551,72.75510204081633,0.9780439121756488,3.2304217217271467,True,0.9780439121756488,73.51020408163265,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-20,501,491,0.9800399201596807,54.37881873727088,17208.75,17199.84796875,15919.529750976562,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COHANCE-2024-07-23,COHANCE,2024-07-18 00:00:00,2024-07-23,3,872.2999877929688,32.368391858838514,35.239601306010364,815.0499877929688,1.7687007822221268,867.0999755859375,852.0,819.464990234375,723.2439953613281,662.4277474975586,263900177.09277344,97.16024340770792,88.64097363083164,56.99797160243407,81.70385395537525,0.9801192842942346,1.0523550372634003,True,0.9801192842942346,78.84381338742395,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-23,503,493,0.9801192842942346,67.95131845841786,22865.19921875,22022.830078125,19826.073515625,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
COHANCE-2024-09-19,COHANCE,2024-09-13 00:00:00,2024-09-19,4,1208.0,49.14362636335129,52.0910106124199,1134.949951171875,1.4864602845548625,1179.5,1167.5,1135.525,1017.1819970703124,760.7862469482421,331147928.5925293,93.50912778904666,98.98580121703854,95.33468559837728,96.2474645030426,0.9840319361277444,8.937276192284738,True,0.9820717131474104,97.16024340770792,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-09-19,501,493,0.9840319361277445,55.172413793103445,23853.94921875,23319.594921875,21089.112783203123,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
