Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
CANFINHOME,1464,0.0015783079467134962,1.0622405880525452,0.0008763925372208562,1.0017030742208037
CAPLIPOINT,1459,0.0016961906019525624,1.0670291546920507,0.0029498735674470438,1.0057377762238393
CARBORUNIV,1462,0.0017116122850337684,1.0677220301670767,0.0027292191834740677,1.0053104838501725
CARTRADE,1464,0.0016036324687813321,1.063266002317761,0.0016162481070753254,1.0031421686558075
CASTROLIND,1460,0.0016822475560746833,1.0663944456984231,0.004074123660377508,1.0079376678355323
CCL,1461,0.0016597894375760432,1.0654875453705663,0.0025803263510726267,1.005015780549329
CDSL,1464,0.0016416903286053056,1.0648648400976641,0.002078303078528391,1.0040440883986483
CEMPRO,1464,0.001524749283946511,1.060128501705349,7.757604975528728e-05,1.000150751820536
CENTRALBK,1464,0.0016087351524566016,1.0634800909278135,0.001594179233073372,1.003099131308757
CENTURYPLY,1464,0.0016312881384757797,1.0644273593673543,0.0020783030785283896,1.0040440883986483
CERA,1464,0.0015613541800719012,1.0615720161127817,0.0005551689759325754,1.00107884758364
CESC,1463,0.0013876760376086432,1.0547315496622478,-0.0042227087374237405,0.9917903168540063
CGPOWER,1462,0.0016672537858493902,1.0658454658540553,0.003062358303107397,1.0059621502315836
CHALET,1462,0.0016471938702562932,1.0650167315839612,0.0030515992281481942,1.0059410787831873
CHAMBLFERT,1462,0.0015551628163126198,1.0613687438634405,0.0018594030298613876,1.0036180054063932
CHENNPETRO,1462,0.0017762462151616335,1.0704532081649705,0.003336922302793284,1.0065001775911346
CHOICEIN,1464,0.0016022507920482323,1.0632080474056576,0.001633587254577546,1.0031759849747526
CHOLAFIN,1462,0.0016581262355604837,1.065461390788319,0.003634606901969461,1.0070841620106123
CHOLAHLDNG,1462,0.0016349476632847128,1.0644873103830976,0.002107209572251313,1.0040949422522172
CIEINDIA,1464,0.001626980543529009,1.0642463018079926,0.002085277335789187,1.0040577143991236
CIPLA,1464,0.0016198744462862812,1.063947751707584,0.0020783030785283896,1.0040440883986483
