Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk,Exit_Date,Exit_Price,Exit_Reason,Return,Exit_Signal_Date,R_Multiple,Holding_Sessions,Breadth_Matched_Date,Member_Count,Covered_Member_Count,SMA50_Denominator,Above_SMA50_Count,Pct_Above_SMA50,SMA200_Denominator,Above_SMA200_Count,Pct_Above_SMA200,Coverage_200_Sessions,Coverage_OK,Nifty500_Close,Nifty500_SMA200,Regime,Universe_Method,Universe_Member_Count,Eligible_Count_50,Eligible_Count_200,Momentum_Regime
AIIL-2026-08-13,AIIL,2026-08-07,2026-08-13,4,596.5999755859375,22.87193524901396,23.19837391122072,547.1500244140625,2.162036164998624,579.0999755859375,567.7999877929688,560.2649993896484,533.6730010986328,521.2378507995605,158407766.66201782,93.8,72.8,70.39999999999999,78.38,1.0,0.8721886500976873,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-08-14,579.7999877929688,541.3504309362573,38.44955685671141,2026-08-18,552.5,SMA20,-0.0470851817311815,2026-08-17,-0.7100208695436111,2,2026-08-13,500,500,500,290,57.99999999999999,420,252,60.0,0.84,True,23658.099609375,23086.29630859375,NORMAL,POINT_IN_TIME,500,500,420,NORMAL
AJANTPHARM-2024-05-24,AJANTPHARM,2024-05-14,2024-05-24,7,2367.8154296875,77.68986561462079,61.58433560165821,2301.536980067532,0.8531157712222265,2352.666015625,2348.150577555365,2279.14560546875,2159.714807128906,1924.1715216064451,263028935.57739255,83.6734693877551,71.0204081632653,56.53061224489796,70.46938775510203,0.9780439121756488,0.5787471468425057,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-05-27,2365.873172868509,2286.1408961671173,79.73227670139158,2024-05-30,2274.345825914544,STOP_GAP,-0.03868649765489846,,-1.1479334435256043,3,2024-05-24,501,493,492,336,68.29268292682927,480,364,75.83333333333333,0.9580838323353292,True,21483.75,18786.948759765623,STRONG_MOMENTUM,POINT_IN_TIME,501,492,480,STRONG_MOMENTUM
AJANTPHARM-2026-05-19,AJANTPHARM,2026-05-14,2026-05-19,3,3229.61376953125,89.67615571928896,95.02714300363266,3121.405126064246,1.206660149502025,3218.713623046875,3199.687984781413,2949.177868652344,2892.6388525390626,2678.2990344238283,266565596.44848636,94.33198380566802,80.36437246963563,89.87854251012146,87.4089068825911,0.98015873015873,1.4692446310470386,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-05-20,3220.4974227346765,3097.648340313338,122.84908242133861,2026-05-22,3097.648340313338,STOP_INTRADAY,-0.038145996191178956,,-1.0,2,2026-05-19,504,500,464,309,66.59482758620689,414,167,40.33816425120773,0.8214285714285714,True,22521.75,23065.70634765625,HOSTILE,POINT_IN_TIME,504,464,414,HOSTILE
AJANTPHARM-2026-07-13,AJANTPHARM,2026-06-30,2026-07-13,9,3391.629638671875,106.1478433393607,107.13945834882723,3225.253754913522,1.5673976834973464,3390.34130859375,3335.444343215368,3228.518859863281,3114.030673828125,2785.7789196777344,280200501.3927002,73.8,76.2,78.4,76.14,1.0,1.4643569531408336,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2026-07-14,3406.790839570004,3198.468890326315,208.32194924368923,2026-07-27,3340.3990372087865,SMA20,-0.019488077046020687,2026-07-24,-0.3186980661531467,9,2026-07-13,500,500,500,323,64.60000000000001,417,231,55.39568345323741,0.834,True,23347.05078125,23062.958818359373,NORMAL,POINT_IN_TIME,500,500,417,NORMAL
ALKEM-2023-12-13,ALKEM,2023-12-07,2023-12-13,4,4760.09033203125,104.98863894746562,107.12164783552193,4557.984743032208,1.9250234218215936,4756.05078125,4685.956153716875,4488.934741210937,3969.4861767578127,3540.8068322753907,1178759550.0778809,75.10204081632654,93.26530612244898,73.46938775510205,81.87755102040816,0.9780439121756488,1.1941529320923083,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-12-14,4770.312537383592,4531.204331073327,239.1082063102649,2024-01-12,4938.003174089131,SMA20,0.03515296647575915,2024-01-11,0.701316944713913,20,2023-12-13,501,491,491,410,83.5030549898167,489,441,90.1840490797546,0.9760479041916168,True,18751.44921875,16345.1022265625,STRONG_MOMENTUM,POINT_IN_TIME,501,491,489,STRONG_MOMENTUM
ALKYLAMINE-2025-07-15,ALKYLAMINE,2025-07-07,2025-07-15,6,2384.539306640625,86.46107618452776,84.13565517464265,2185.164884389208,2.305944258962336,2293.1552734375,2256.860266213768,2236.782122802734,2002.2118383789064,1889.821423339844,284213391.79296875,96.37826961770624,85.3118712273642,89.93963782696177,90.02012072434607,0.994,0.3518067242122392,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-07-16,2293.1553150682025,2164.1309705955478,129.02434447265478,2025-07-21,2242.2424664089813,SMA20,-0.02220209347560351,2025-07-18,-0.39459877798496895,3,2025-07-15,500,497,497,370,74.44668008048289,479,310,64.71816283924844,0.958,True,23449.150390625,22285.705234375,STRONG_MOMENTUM,POINT_IN_TIME,500,497,479,STRONG_MOMENTUM
AMBER-2023-09-15,AMBER,2023-09-07,2023-09-15,6,3043.35009765625,112.0203851359472,111.2683417856935,2797.35009765625,2.1960288719009133,2974.60009765625,2947.0,2924.2800048828126,2603.216005859375,2126.1360003662107,482287700.7988281,42.5357873210634,90.1840490797546,79.95910020449898,72.82208588957056,0.9760479041916168,0.9171826625386996,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-09-18,2980.0,2769.5330122098267,210.46698779017333,2023-09-22,2946.5,SMA20,-0.011241610738255034,2023-09-21,-0.15916985533806413,3,2023-09-15,501,491,491,409,83.29938900203666,488,452,92.62295081967213,0.9740518962075848,True,17665.80078125,15738.055517578125,STRONG_MOMENTUM,POINT_IN_TIME,501,491,488,STRONG_MOMENTUM
AMBER-2024-10-08,AMBER,2024-10-03,2024-10-08,3,5163.85009765625,247.2200546675521,247.15588401936705,4800.0,1.4717661079135975,5064.7998046875,5051.0,4693.9625,4471.8789892578125,3987.1314916992183,1466256997.0490725,94.8875255623722,75.66462167689161,75.66462167689161,81.43149284253579,0.978,1.4525200273839654,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-10-09,5095.0,4738.211028995158,356.7889710048421,2024-11-29,6020.0,SMA20,0.1815505397448479,2024-11-28,2.592568927775087,35,2024-10-08,500,494,494,195,39.47368421052632,485,360,74.22680412371135,0.97,True,23512.55078125,21438.58828125,NORMAL,POINT_IN_TIME,500,494,485,NORMAL
AMBER-2024-11-01,AMBER,2024-10-23,2024-11-01,7,6408.0498046875,395.2379693585115,386.8378447261904,5910.0,1.2601264131982477,6160.9501953125,6055.9501953125,5680.8349609375,5016.26998046875,4220.246740722656,3355986503.4125977,98.77551020408164,97.95918367346938,94.28571428571428,97.10204081632652,0.98,0.2635709714578267,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-11-04,6130.0498046875,5813.290538818453,316.75926586904734,2024-11-29,6020.0,SMA20,-0.01795251395891557,2024-11-28,-0.34742410576553145,17,2024-11-01,500,496,496,133,26.814516129032256,487,297,60.98562628336756,0.974,True,22823.55078125,21795.63228515625,NORMAL,POINT_IN_TIME,500,496,487,NORMAL
AMBER-2025-01-02,AMBER,2024-12-26,2025-01-02,4,7867.7001953125,327.8440432635892,344.2151401483669,7120.89990234375,2.277913258800059,7544.39990234375,7449.0,6504.0875,6308.52001953125,4716.675246582031,2469076300.107422,98.98785425101214,100.0,97.36842105263158,98.90688259109312,0.988,0.644620526020983,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-01-03,7700.0,7034.846117306658,665.153882693342,2025-01-13,7034.846117306658,STOP_INTRADAY,-0.08638362112900545,,-1.0,6,2025-01-02,500,496,496,249,50.201612903225815,488,240,49.18032786885246,0.976,True,22819.75,22349.360478515624,NORMAL,POINT_IN_TIME,500,496,488,NORMAL
AMBER-2025-03-27,AMBER,2025-03-20,2025-03-27,5,7248.5,330.7803512960398,330.9935172491859,6728.2998046875,1.572645392249839,7131.2998046875,6992.4501953125,6445.5899658203125,6432.412958984375,5573.131735839844,3583032473.274414,94.16498993963782,69.21529175050301,100.0,85.93561368209255,0.994,1.022254357752918,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-03-28,7181.0,6645.551425375204,535.4485746247956,2025-04-04,6645.551425375204,STOP_INTRADAY,-0.07456462534811246,,-1.0,4,2025-03-27,500,497,491,255,51.93482688391039,490,101,20.612244897959183,0.98,True,21407.94921875,22478.826455078124,HOSTILE,POINT_IN_TIME,500,491,490,HOSTILE
