Signal_ID,Symbol,Signal_Date,Yahoo_Ticker,Range_Low,Range_High,Range_Mid,ER60,Prior20_Median_Traded_Value,Open,High,Low,Close,Volume,ATR14,Point_In_Time_Member,Exact_Prehistory_61
LOWER|3MINDIA|2025-01-07,3MINDIA,2025-01-07,3MINDIA.NS,29072.336277551036,35985.49446771878,32528.91537263491,0.16362251665037955,121055127.87890625,29127.57190747874,30288.527130726558,28975.4266904087,30000.46875,7413.0,778.1283425998747,True,True
LOWER|3MINDIA|2025-01-22,3MINDIA,2025-01-22,3MINDIA.NS,27739.853142634638,35985.49446771878,31862.67380517671,0.19968335072275215,158995800.96875,28064.495705658883,28226.623193813026,27677.01028973298,28123.3671875,10265.0,866.0022709739195,True,True
LOWER|3MINDIA|2025-01-27,3MINDIA,2025-01-27,3MINDIA.NS,27677.01028973298,35985.49446771878,31831.252378725883,0.15890748054033674,225578939.1357422,28209.516925942167,28360.062788784748,27533.439397059705,28307.248046875,5419.0,891.2341399278619,True,True
LOWER|3MINDIA|2025-02-04,3MINDIA,2025-02-04,3MINDIA.NS,27533.439397059705,35247.44588119963,31390.442639129666,0.24877048731588236,225578939.1357422,28587.846631225402,28587.846631225402,27492.59367713457,27866.94921875,15347.0,869.2228002064327,True,True
LOWER|3MINDIA|2025-02-17,3MINDIA,2025-02-17,3MINDIA.NS,25635.25867505442,31784.977133785436,28710.11790441993,0.2371365434134108,260271908.50683594,25736.47793032098,26407.371279591436,25411.208465789703,26097.412109375,9473.0,859.9088363404128,True,True
LOWER|3MINDIA|2025-03-03,3MINDIA,2025-03-03,3MINDIA.NS,25205.715976969474,30787.602761020782,27996.659368995126,0.24128149651363134,228129271.5673828,25484.13122227072,25614.714460100568,24922.889417460086,25463.392578125,4180.0,785.0597225044468,True,True
LOWER|3MINDIA|2026-03-16,3MINDIA,2026-03-16,3MINDIA.NS,32282.473559736398,37487.09942436396,34884.786492050174,0.07626070407684848,118360985.77734375,32514.11985060993,32627.478158411057,31548.109923261203,32499.333984375,7966.0,1247.860898644322,True,True
LOWER|3MINDIA|2026-03-24,3MINDIA,2026-03-24,3MINDIA.NS,30557.456855405948,37487.09942436396,34022.278139884955,0.13000448810764376,115887782.15625,31277.034079432036,31331.24891946887,30237.09487508912,31109.4609375,2974.0,1179.0260509470295,True,True
LOWER|3MINDIA|2026-04-02,3MINDIA,2026-04-02,3MINDIA.NS,28709.223548926795,37487.09942436396,33098.161486645375,0.17169071338352906,115314281.61621094,28881.725502354126,29665.376416155203,28319.862583025053,29310.515625,8060.0,1204.660116439998,True,True
LOWER|AADHARHFC|2025-01-16,AADHARHFC,2025-01-16,AADHARHFC.NS,393.1000061035156,477.5,435.3000030517578,0.10427393783277437,145553276.85891724,401.0,408.5,392.6000061035156,395.5,418995.0,13.395713001939063,True,True
LOWER|AADHARHFC|2025-01-20,AADHARHFC,2025-01-20,AADHARHFC.NS,392.6000061035156,477.5,435.0500030517578,0.08597636315960155,145553276.85891724,399.3999938964844,402.8500061035156,390.0,395.8500061035156,292764.0,14.060079503963879,True,True
LOWER|AADHARHFC|2025-01-22,AADHARHFC,2025-01-22,AADHARHFC.NS,390.0,477.5,433.75,0.048932528358964694,138034131.29685974,403.70001220703125,410.04998779296875,389.95001220703125,399.20001220703125,313945.0,14.305117828433778,True,True
LOWER|AADHARHFC|2025-01-28,AADHARHFC,2025-01-28,AADHARHFC.NS,361.6000061035156,477.5,419.5500030517578,0.23095456710237594,157271428.57141113,365.45001220703125,400.54998779296875,346.04998779296875,391.1000061035156,2004271.0,17.622731560895357,True,True
LOWER|AADHARHFC|2025-11-07,AADHARHFC,2025-11-07,AADHARHFC.NS,493.29998779296875,547.7999877929688,520.5499877929688,0.018746932836628087,120208980.158844,499.45001220703125,500.79998779296875,481.1000061035156,494.54998779296875,394063.0,12.655274480200598,True,True
LOWER|AADHARHFC|2025-11-20,AADHARHFC,2025-11-20,AADHARHFC.NS,481.1000061035156,547.7999877929688,514.4499969482422,0.09507562193298925,122104042.47235107,490.8999938964844,491.95001220703125,480.0,485.75,336741.0,11.604213531811013,True,True
LOWER|AADHARHFC|2025-11-28,AADHARHFC,2025-11-28,AADHARHFC.NS,480.0,547.7999877929688,513.8999938964844,0.06600783999431228,134728477.32440186,483.1499938964844,485.04998779296875,479.5,481.1499938964844,276890.0,10.504530096011274,True,True
LOWER|AADHARHFC|2025-12-08,AADHARHFC,2025-12-08,AADHARHFC.NS,479.5,547.7999877929688,513.6499938964844,0.119969246195191,129914941.34344482,479.29998779296875,488.5,479.29998779296875,485.6499938964844,261142.0,8.837555957203202,True,True
LOWER|AADHARHFC|2025-12-30,AADHARHFC,2025-12-30,AADHARHFC.NS,474.04998779296875,542.0,508.0249938964844,0.14187753743769105,106808950.12208557,477.29998779296875,482.5,472.75,479.95001220703125,239561.0,9.542588112213297,True,True
