Signal_ID,Symbol,Signal_Date,Cancellation_Reason
UPPER|EIHOTEL|2023-08-30,EIHOTEL,2023-08-30,SAME_SYMBOL_LOCKOUT
UPPER|NMDC|2023-08-30,NMDC,2023-08-30,SAME_SYMBOL_LOCKOUT
UPPER|SWANCORP|2023-08-30,SWANCORP,2023-08-30,SAME_SYMBOL_LOCKOUT
UPPER|CGPOWER|2023-08-31,CGPOWER,2023-08-31,SAME_SYMBOL_LOCKOUT
UPPER|IBREALEST|2023-08-31,IBREALEST,2023-08-31,SAME_SYMBOL_LOCKOUT
UPPER|JAMNAAUTO|2023-08-31,JAMNAAUTO,2023-08-31,SAME_SYMBOL_LOCKOUT
UPPER|LEMONTREE|2023-08-31,LEMONTREE,2023-08-31,SAME_SYMBOL_LOCKOUT
UPPER|NAZARA|2023-08-31,NAZARA,2023-08-31,SAME_SYMBOL_LOCKOUT
UPPER|BEL|2023-09-01,BEL,2023-09-01,SAME_SYMBOL_LOCKOUT
UPPER|IBREALEST|2023-09-01,IBREALEST,2023-09-01,SAME_SYMBOL_LOCKOUT
UPPER|INDHOTEL|2023-09-01,INDHOTEL,2023-09-01,SAME_SYMBOL_LOCKOUT
UPPER|NETWORK18|2023-09-01,NETWORK18,2023-09-01,SAME_SYMBOL_LOCKOUT
UPPER|PRESTIGE|2023-09-01,PRESTIGE,2023-09-01,SAME_SYMBOL_LOCKOUT
UPPER|ATUL|2023-09-04,ATUL,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|CGPOWER|2023-09-04,CGPOWER,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|CHEMPLASTS|2023-09-04,CHEMPLASTS,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|COROMANDEL|2023-09-04,COROMANDEL,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|IBREALEST|2023-09-04,IBREALEST,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|M&M|2023-09-04,M&M,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|MSUMI|2023-09-04,MSUMI,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|OFSS|2023-09-04,OFSS,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-09-04,TVSMOTOR,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|WELSPUNLIV|2023-09-04,WELSPUNLIV,2023-09-04,SAME_SYMBOL_LOCKOUT
UPPER|AVANTIFEED|2023-09-05,AVANTIFEED,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|CGPOWER|2023-09-05,CGPOWER,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|DEEPAKFERT|2023-09-05,DEEPAKFERT,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|GAIL|2023-09-05,GAIL,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|IRB|2023-09-05,IRB,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|PHOENIXLTD|2023-09-05,PHOENIXLTD,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|SUMICHEM|2023-09-05,SUMICHEM,2023-09-05,SAME_SYMBOL_LOCKOUT
UPPER|CHAMBLFERT|2023-09-06,CHAMBLFERT,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|CLEAN|2023-09-06,CLEAN,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|DEEPAKFERT|2023-09-06,DEEPAKFERT,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-06,GNFC,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|GPPL|2023-09-06,GPPL,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|HCLTECH|2023-09-06,HCLTECH,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|HFCL|2023-09-06,HFCL,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|IRCTC|2023-09-06,IRCTC,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|JKCEMENT|2023-09-06,JKCEMENT,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|RAIN|2023-09-06,RAIN,2023-09-06,SAME_SYMBOL_LOCKOUT
UPPER|CHAMBLFERT|2023-09-07,CHAMBLFERT,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|FEDERALBNK|2023-09-07,FEDERALBNK,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-07,GNFC,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|INDHOTEL|2023-09-07,INDHOTEL,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|JUBLINGREA|2023-09-07,JUBLINGREA,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|NOCIL|2023-09-07,NOCIL,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|SUMICHEM|2023-09-07,SUMICHEM,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|SYNGENE|2023-09-07,SYNGENE,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-09-07,TVSMOTOR,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|VIPIND|2023-09-07,VIPIND,2023-09-07,SAME_SYMBOL_LOCKOUT
UPPER|CROMPTON|2023-09-08,CROMPTON,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-08,GNFC,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|KPRMILL|2023-09-08,KPRMILL,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|LTM|2023-09-08,LTM,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|NAVINFLUOR|2023-09-08,NAVINFLUOR,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|PERSISTENT|2023-09-08,PERSISTENT,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|SRF|2023-09-08,SRF,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|STLTECH|2023-09-08,STLTECH,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|TTML|2023-09-08,TTML,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-09-08,TVSMOTOR,2023-09-08,SAME_SYMBOL_LOCKOUT
UPPER|ABFRL|2023-09-11,ABFRL,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|AFFLE|2023-09-11,AFFLE,2023-09-11,SAME_SYMBOL_LOCKOUT
