Symbol,Date,Base_ID,Seed_Date,Base_Age,Event,Original_Pivot,Active_Pivot,New_Pivot,Base_Low,Base_Depth_ATR,High,Low,Close
AMBUJACEM,2022-08-04 00:00:00,AMBUJACEM-2022-08-02,2022-08-02 00:00:00,2,FAILED_PROBE,376.19064568354406,376.19064568354406,377.12422425316987,369.99942837998066,1.4105773680552378,377.12422425316987,371.47350297771516,374.6673889160156
AMBUJACEM,2022-08-12 00:00:00,AMBUJACEM-2022-08-02,2022-08-02 00:00:00,7,TOO_SHORT_BREAKOUT,376.19064568354406,377.12422425316987,,369.99942837998066,1.6232794486069255,381.3008895303291,372.30887712845646,378.1561279296875
AMBUJACEM,2022-08-12 00:00:00,AMBUJACEM-2022-08-12,2022-08-12 00:00:00,0,SEEDED,381.3008895303291,381.3008895303291,,inf,-inf,381.3008895303291,372.30887712845646,378.1561279296875
AMBUJACEM,2022-08-16 00:00:00,AMBUJACEM-2022-08-12,2022-08-12 00:00:00,1,TOO_SHORT_BREAKOUT,381.3008895303291,381.3008895303291,,378.7949334660887,0.5442497985442716,392.11097072631605,378.7949334660887,389.26104736328125
AMBUJACEM,2022-08-16 00:00:00,AMBUJACEM-2022-08-16,2022-08-16 00:00:00,0,SEEDED,392.11097072631605,392.11097072631605,,inf,-inf,392.11097072631605,378.7949334660887,389.26104736328125
AMBUJACEM,2022-08-17 00:00:00,AMBUJACEM-2022-08-16,2022-08-16 00:00:00,1,FAILED_PROBE,392.11097072631605,392.11097072631605,397.95824133767474,390.14549215591717,0.3727926973667632,397.95824133767474,390.14549215591717,391.42303466796875
AMBUJACEM,2022-08-18 00:00:00,AMBUJACEM-2022-08-16,2022-08-16 00:00:00,2,TOO_SHORT_BREAKOUT,392.11097072631605,397.95824133767474,,389.6541294507067,1.5750424940781473,407.34334592009566,389.6541294507067,402.5279541015625
AMBUJACEM,2022-08-18 00:00:00,AMBUJACEM-2022-08-18,2022-08-18 00:00:00,0,SEEDED,407.34334592009566,407.34334592009566,,inf,-inf,407.34334592009566,389.6541294507067,402.5279541015625
AMBUJACEM,2022-08-19 00:00:00,AMBUJACEM-2022-08-18,2022-08-18 00:00:00,1,TOO_SHORT_BREAKOUT,407.34334592009566,407.34334592009566,,403.2158067349137,0.6463021632501984,419.6274789135118,403.2158067349137,413.1905822753906
AMBUJACEM,2022-08-19 00:00:00,AMBUJACEM-2022-08-19,2022-08-19 00:00:00,0,SEEDED,419.6274789135118,419.6274789135118,,inf,-inf,419.6274789135118,403.2158067349137,413.1905822753906
AMBUJACEM,2022-08-25 00:00:00,AMBUJACEM-2022-08-19,2022-08-19 00:00:00,4,DEPTH_INVALIDATED,419.6274789135118,419.6274789135118,,389.06445946090844,4.273582232830223,401.25035740743806,389.06445946090844,390.2928771972656
AMBUJACEM,2022-09-06 00:00:00,AMBUJACEM-2022-09-06,2022-09-06 00:00:00,0,SEEDED,433.3857742781492,433.3857742781492,,inf,-inf,433.3857742781492,410.29152100028864,428.9634704589844
AMBUJACEM,2022-09-07 00:00:00,AMBUJACEM-2022-09-06,2022-09-06 00:00:00,1,TOO_SHORT_BREAKOUT,433.3857742781492,433.3857742781492,,428.4721181572114,0.4933363670226367,449.6009038002849,428.4721181572114,441.1493835449219
AMBUJACEM,2022-09-07 00:00:00,AMBUJACEM-2022-09-07,2022-09-07 00:00:00,0,SEEDED,449.6009038002849,449.6009038002849,,inf,-inf,449.6009038002849,428.4721181572114,441.1493835449219
AMBUJACEM,2022-09-08 00:00:00,AMBUJACEM-2022-09-07,2022-09-07 00:00:00,1,TOO_SHORT_BREAKOUT,449.6009038002849,449.6009038002849,,438.5451128466584,1.0276981594677568,455.9886439458813,438.5451128466584,453.9248962402344
AMBUJACEM,2022-09-08 00:00:00,AMBUJACEM-2022-09-08,2022-09-08 00:00:00,0,SEEDED,455.9886439458813,455.9886439458813,,inf,-inf,455.9886439458813,438.5451128466584,453.9248962402344
AMBUJACEM,2022-09-09 00:00:00,AMBUJACEM-2022-09-08,2022-09-08 00:00:00,1,FAILED_PROBE,455.9886439458813,455.9886439458813,476.33126853251173,444.0484447559264,1.0627330629487246,476.33126853251173,444.0484447559264,446.8492431640625
AMBUJACEM,2022-09-13 00:00:00,AMBUJACEM-2022-09-08,2022-09-08 00:00:00,3,TOO_SHORT_BREAKOUT,455.9886439458813,476.33126853251173,,432.99267948237076,3.8573352715823925,480.2130617448679,468.02716363983313,478.1001892089844
AMBUJACEM,2022-09-13 00:00:00,AMBUJACEM-2022-09-13,2022-09-13 00:00:00,0,SEEDED,480.2130617448679,480.2130617448679,,inf,-inf,480.2130617448679,468.02716363983313,478.1001892089844
AMBUJACEM,2022-09-14 00:00:00,AMBUJACEM-2022-09-13,2022-09-13 00:00:00,1,TOO_SHORT_BREAKOUT,480.2130617448679,480.2130617448679,,473.67790375991007,0.4528233679227539,524.4852759727489,473.67790375991007,515.5423583984375
AMBUJACEM,2022-09-14 00:00:00,AMBUJACEM-2022-09-14,2022-09-14 00:00:00,0,SEEDED,524.4852759727489,524.4852759727489,,inf,-inf,524.4852759727489,473.67790375991007,515.5423583984375
AMBUJACEM,2022-09-15 00:00:00,AMBUJACEM-2022-09-14,2022-09-14 00:00:00,1,TOO_SHORT_BREAKOUT,524.4852759727489,524.4852759727489,,500.6048038327466,1.402237366395825,535.2462149512878,500.6048038327466,529.4480590820312
AMBUJACEM,2022-09-15 00:00:00,AMBUJACEM-2022-09-15,2022-09-15 00:00:00,0,SEEDED,535.2462149512878,535.2462149512878,,inf,-inf,535.2462149512878,500.6048038327466,529.4480590820312
AMBUJACEM,2022-09-16 00:00:00,AMBUJACEM-2022-09-15,2022-09-15 00:00:00,1,FAILED_PROBE,535.2462149512878,535.2462149512878,540.5037827739113,502.22627561574694,1.8055322149474806,540.5037827739113,502.22627561574694,507.77874755859375
AMBUJACEM,2022-09-19 00:00:00,AMBUJACEM-2022-09-15,2022-09-15 00:00:00,2,TOO_SHORT_BREAKOUT,535.2462149512878,540.5037827739113,,502.22627561574694,2.093016331122116,563.0575433225672,505.12535317517853,555.1465454101562
AMBUJACEM,2022-09-19 00:00:00,AMBUJACEM-2022-09-19,2022-09-19 00:00:00,0,SEEDED,563.0575433225672,563.0575433225672,,inf,-inf,563.0575433225672,505.12535317517853,555.1465454101562
AMBUJACEM,2022-09-20 00:00:00,AMBUJACEM-2022-09-19,2022-09-19 00:00:00,1,TOO_SHORT_BREAKOUT,563.0575433225672,563.0575433225672,,557.7016445008846,0.23861540949769344,575.5874184881931,557.7016445008846,564.433349609375
AMBUJACEM,2022-09-20 00:00:00,AMBUJACEM-2022-09-20,2022-09-20 00:00:00,0,SEEDED,575.5874184881931,575.5874184881931,,inf,-inf,575.5874184881931,557.7016445008846,564.433349609375
AMBUJACEM,2022-09-27 00:00:00,AMBUJACEM-2022-09-20,2022-09-20 00:00:00,5,DEPTH_INVALIDATED,575.5874184881931,575.5874184881931,,465.8160094117698,4.921925685469109,514.952719265332,465.8160094117698,495.6419982910156
AMBUJACEM,2022-11-14 00:00:00,AMBUJACEM-2022-11-14,2022-11-14 00:00:00,0,SEEDED,576.4227900412521,576.4227900412521,,inf,-inf,576.4227900412521,547.9234954217173,570.2807006835938
AMBUJACEM,2022-11-15 00:00:00,AMBUJACEM-2022-11-14,2022-11-14 00:00:00,1,FAILED_PROBE,576.4227900412521,576.4227900412521,582.7614213900612,565.3670128362821,0.5952681971744641,582.7614213900612,565.3670128362821,576.3245239257812
AMBUJACEM,2022-11-16 00:00:00,AMBUJACEM-2022-11-14,2022-11-14 00:00:00,2,FAILED_PROBE,576.4227900412521,582.7614213900612,583.2527473486136,558.3895840998598,1.3122351668814127,583.2527473486136,558.3895840998598,567.2341918945312
AMBUJACEM,2022-12-09 00:00:00,AMBUJACEM-2022-11-14,2022-11-14 00:00:00,19,FAILED_PROBE,576.4227900412521,583.2527473486136,587.6750481978136,544.9752507826032,2.060947498377394,587.6750481978136,562.3696426943125,570.9685668945312
AMBUJACEM,2022-12-23 00:00:00,AMBUJACEM-2022-11-14,2022-11-14 00:00:00,29,DEPTH_INVALIDATED,576.4227900412521,587.6750481978136,,477.6088035991174,5.926217015532485,522.6180163041668,477.6088035991174,482.7681579589844
AMBUJACEM,2023-05-09 00:00:00,AMBUJACEM-2023-05-09,2023-05-09 00:00:00,0,SEEDED,405.2795739463744,405.2795739463744,,inf,-inf,405.2795739463744,396.48412094052424,398.6461181640625
AMBUJACEM,2023-05-11 00:00:00,AMBUJACEM-2023-05-09,2023-05-09 00:00:00,2,FAILED_PROBE,405.2795739463744,405.2795739463744,407.8347127446052,395.5505197854516,0.821105371906233,407.8347127446052,399.18666336219206,405.08306884765625
AMBUJACEM,2023-05-22 00:00:00,AMBUJACEM-2023-05-09,2023-05-09 00:00:00,9,TOO_SHORT_BREAKOUT,405.2795739463744,407.8347127446052,,388.6714005813673,1.617330760060057,426.21183738877875,398.00735366374727,416.5810241699219
AMBUJACEM,2023-05-22 00:00:00,AMBUJACEM-2023-05-22,2023-05-22 00:00:00,0,SEEDED,426.21183738877875,426.21183738877875,,inf,-inf,426.21183738877875,398.00735366374727,416.5810241699219
AMBUJACEM,2023-05-23 00:00:00,AMBUJACEM-2023-05-22,2023-05-22 00:00:00,1,FAILED_PROBE,426.21183738877875,426.21183738877875,433.3366477677831,417.12153383144107,0.754817216655767,433.3366477677831,417.12153383144107,419.92230224609375
AMBUJACEM,2023-06-05 00:00:00,AMBUJACEM-2023-05-22,2023-05-22 00:00:00,10,FAILED_PROBE,426.21183738877875,433.3366477677831,434.0245669017279,408.52261901999816,2.0604434159187526,434.0245669017279,429.503983443299,431.4694519042969
AMBUJACEM,2023-06-06 00:00:00,AMBUJACEM-2023-05-22,2023-05-22 00:00:00,11,BREAKOUT_CANDIDATE,426.21183738877875,434.0245669017279,,408.52261901999816,2.1175650733742177,452.9913210664578,432.4030285082637,451.2223815917969
AMBUJACEM,2023-06-06 00:00:00,AMBUJACEM-2023-06-06,2023-06-06 00:00:00,0,SEEDED,452.9913210664578,452.9913210664578,,inf,-inf,452.9913210664578,432.4030285082637,451.2223815917969
AMBUJACEM,2023-06-07 00:00:00,AMBUJACEM-2023-06-06,2023-06-06 00:00:00,1,FAILED_PROBE,452.9913210664578,452.9913210664578,453.53182506299714,444.6872174236321,0.7454400374784559,453.53182506299714,444.6872174236321,447.881103515625
AMBUJACEM,2023-06-13 00:00:00,AMBUJACEM-2023-06-06,2023-06-06 00:00:00,5,FAILED_PROBE,452.9913210664578,453.53182506299714,455.7921158452188,438.1520607897852,1.3806056077031068,455.7921158452188,447.68455859059986,451.02587890625
AMBUJACEM,2023-06-14 00:00:00,AMBUJACEM-2023-06-06,2023-06-06 00:00:00,6,TOO_SHORT_BREAKOUT,452.9913210664578,455.7921158452188,,438.1520607897852,1.5835066452963935,457.46276287336326,451.46807834992904,456.57830810546875
AMBUJACEM,2023-06-14 00:00:00,AMBUJACEM-2023-06-14,2023-06-14 00:00:00,0,SEEDED,457.46276287336326,457.46276287336326,,inf,-inf,457.46276287336326,451.46807834992904,456.57830810546875
AMBUJACEM,2023-06-15 00:00:00,AMBUJACEM-2023-06-14,2023-06-14 00:00:00,1,FAILED_PROBE,457.46276287336326,457.46276287336326,460.8040518842603,449.1586458308776,0.8291860837533155,460.8040518842603,449.1586458308776,450.43621826171875
AMBUJACEM,2023-06-23 00:00:00,AMBUJACEM-2023-06-14,2023-06-14 00:00:00,7,DEPTH_INVALIDATED,457.46276287336326,460.8040518842603,,416.67927171209635,4.405965556632002,437.3166884714219,416.67927171209635,418.44818115234375
